respondent_id,T01. Artificial Intelligence will improve society more than it will create problems.,T02. Generative AI tools should be allowed as learning aids in higher education.,T03. Students should disclose the use of AI in assignments and reports.,T04. Every engineering student should receive formal education in AI.,T05. Artificial Intelligence will significantly accelerate scientific discovery.,T06. Most repetitive jobs will eventually be replaced by intelligent automation.,T07. Robots should replace humans in hazardous occupations whenever possible.,T08. AI-assisted diagnosis should become routine in healthcare.,T09. Autonomous vehicles will ultimately make transportation safer.,T10. Protection of personal data is more important than technological convenience.,T11. Technology companies should explain how recommendation algorithms work.,T12. Governments should introduce stricter regulations for Artificial Intelligence.,T13. Cybersecurity deserves greater investment than the development of new digital technologies.,T14. Social media algorithms contribute to opinion polarization.,T15. Society will increasingly depend on AI-assisted decision making.,E01. Project-based learning develops deeper understanding than examination-oriented learning.,E02. Traditional written examinations accurately measure a student's knowledge.,E03. Class attendance should be compulsory for all courses.,E04. High-quality online learning can effectively complement classroom teaching.,E05. Students should be encouraged to take courses outside their primary discipline.,E06. Every undergraduate student should participate in at least one research project.,"E07. Publishing research before graduation should be encouraged, but not mandatory.",E08. Maintaining academic honesty is more important than obtaining high grades.,E09. Collaborative learning is generally more effective than individual learning.,E10. Universities should prioritize innovation and problem-solving over rote learning.,E11. University curricula should be updated more frequently to match emerging technologies.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,E13. Universities should invest more resources in research than in expanding infrastructure.,E14. Strong collaborations between universities and industry improve student education.,E15. Continuous learning and skill development are essential throughout one's career.,S01. Every individual has a responsibility to contribute positively to society.,S02. Universities should encourage students to participate in community service activities.,S03. New technologies should be evaluated for their societal impact before widespread deployment.,S04. Technology companies should be accountable for unethical use of their platforms.,S05. Individuals should have greater control over how their personal data are collected and used.,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",S07. Equal opportunities should be prioritized regardless of a person's background.,S08. Diverse teams generally make better decisions than homogeneous teams.,S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,S10. Scientific evidence should play an important role in public policy decisions.,S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,S12. Young people should actively participate in addressing societal challenges.,S13. Critical evaluation of online information should be taught as a core educational skill.,S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,S15. Building public trust is essential for responsible adoption of emerging technologies.,V01. Climate change requires immediate global action.,V02. Governments should prioritize investment in renewable energy over fossil fuels.,V03. Individuals should actively reduce their personal energy consumption.,V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.,V05. Single-use plastics should be significantly restricted.,"V06. Water conservation should be a priority in households, institutions, and industries.",V07. Protecting biodiversity is essential for long-term human well-being.,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,"V09. Products should be designed to encourage reuse, repair, and recycling.",V10. Consumers should consider environmental impact when purchasing products.,V11. Technological innovation is essential for addressing environmental challenges.,V12. Environmental sustainability should be integrated into higher education curricula.,V13. Companies should be held accountable for the environmental impacts of their activities.,V14. International cooperation is necessary to effectively address environmental challenges.,V15. Current generations have a responsibility to protect natural resources for future generations.,completeness
67,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
69,0.5,1.0,0.5,1.0,0.0,0.5,0.5,-0.5,0.5,0.5,0.0,,0.5,0.0,0.5,0.5,1.0,-0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.0,-0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.9833333333333333
70,0.5,0.5,0.5,1.0,1.0,0.5,0.5,-0.5,-0.5,0.5,0.0,0.5,0.0,1.0,0.5,1.0,0.0,-1.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
72,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,-0.5,0.0,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0
74,-0.5,0.5,1.0,0.5,0.5,1.0,1.0,-1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,-0.5,0.0,1.0,1.0,0.0,0.5,-0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,-0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,-0.5,0.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,,,,,,,,,,,,,,,,0.75
80,0.5,1.0,0.5,0.5,0.0,1.0,1.0,-1.0,0.0,0.5,1.0,0.5,0.0,1.0,0.5,-0.5,0.5,-1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0
81,0.5,1.0,1.0,0.5,0.5,0.5,1.0,-0.5,0.0,1.0,1.0,0.5,,1.0,0.5,0.5,-0.5,-1.0,0.5,0.5,,0.5,1.0,1.0,0.5,1.0,1.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95
82,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,-0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,-0.5,-0.5,-0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,-0.5,-1.0,-0.5,1.0,-0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0
84,-1.0,0.5,,0.5,-0.5,1.0,-1.0,-0.5,0.0,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,0.5,-1.0,0.5,0.5,0.5,1.0,1.0,-0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.5,-1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333
85,0.0,0.0,-0.5,0.5,1.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.5,0.0,0.5,1.0,1.0,-0.5,-1.0,1.0,0.5,0.0,0.5,0.0,-0.5,1.0,-0.5,-0.5,-1.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,-0.5,1.0,0.0,1.0,-0.5,1.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0
86,0.5,1.0,0.5,0.5,0.5,1.0,-0.5,-0.5,-1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.5,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
89,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,-1.0,0.0,-0.5,0.5,1.0,0.5,-1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.5,-1.0,0.0,-1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,-1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0
90,-0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-0.5,-1.0,-0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
91,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
92,0.5,0.5,0.5,0.0,0.5,1.0,1.0,-1.0,0.0,0.0,0.5,0.0,,0.5,,1.0,-0.5,0.5,1.0,,0.5,0.0,1.0,,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.9333333333333333
93,-0.5,-0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-0.5,-1.0,-0.5,0.5,-0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,,0.5,0.5,0.5,1.0,0.5,0.5,0.5,,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,-0.5,1.0,0.5,0.5,0.9666666666666667
94,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,0.0,1.0,1.0,1.0,0.5,0.5,-0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,-0.5,-1.0,-0.5,,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,,1.0,1.0,1.0,0.9666666666666667
97,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,-0.5,-1.0,1.0,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
99,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0
101,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0
102,0.0,0.0,1.0,0.0,0.5,0.5,1.0,,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.9666666666666667
103,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.0,-0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,-0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.5,-0.5,,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,1.0,-0.5,0.0,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.9666666666666667
104,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,-1.0,-1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0
105,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,0.5,0.5,0.5,1.0,0.5,0.0,1.0,-0.5,0.5,0.0,-0.5,-0.5,0.0,1.0,0.0,1.0,0.0,-0.5,0.5,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0
108,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,-0.5,1.0,0.5,-0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,-0.5,1.0
110,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,-0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
113,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,-0.5,0.0,1.0,0.5,1.0,-0.5,-1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,-0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,1.0
114,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,-0.5,-1.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,-0.5,0.5,-0.5,0.0,0.0,1.0,0.5,0.5,0.5,-0.5,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,-0.5,-0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.5,1.0,0.5,-0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0
116,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,-1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0
117,-1.0,0.0,0.5,0.5,1.0,-0.5,0.5,0.0,0.5,0.5,-0.5,1.0,0.5,1.0,1.0,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,0.0,-0.5,1.0,0.5,0.0,0.0,0.5,1.0,-0.5,0.0,-0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,1.0,0.5,1.0
118,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.5,-0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.9833333333333333
119,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-0.5,0.0,0.0,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,-0.5,-0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0
120,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,0.5,-1.0,0.5,-1.0,0.5,-0.5,0.0,,0.5,-1.0,1.0,-1.0,0.5,-0.5,0.5,0.5,-0.5,1.0,-1.0,0.5,-1.0,-0.5,1.0,0.0,,1.0,0.5,0.0,-0.5,-1.0,,-1.0,-0.5,0.0,0.5,1.0,0.5,0.0,-0.5,-1.0,,-1.0,-0.5,0.0,0.5,0.9333333333333333
121,0.5,1.0,0.5,1.0,1.0,1.0,1.0,-1.0,0.0,0.5,-0.5,0.0,0.0,0.5,1.0,1.0,-1.0,-1.0,0.5,-0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,-1.0,0.5,1.0,0.5,1.0
123,0.5,0.5,0.5,0.5,-0.5,0.0,0.0,-0.5,-0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.5,,,,,,,,,,,0.8333333333333334
125,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,0.5,-0.5,0.5,1.0,-1.0,1.0,-1.0,1.0,0.5,0.5,0.5,,0.5,0.5,,0.5,,1.0,1.0,,0.0,1.0,-0.5,1.0,-0.5,0.5,-0.5,0.5,1.0,-0.5,1.0,-0.5,0.5,0.9333333333333333
126,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,-0.5,0.5,-0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
